"Boro","Level","value"
"BRONX","FELONY",0.0201941307394279
"BRONX","MISDEMEANOR",0.0410065122413651
"BRONX","VIOLATION",0.0100699310306927
"BROOKLYN","FELONY",0.016965139081926
"BROOKLYN","MISDEMEANOR",0.0278460864764008
"BROOKLYN","VIOLATION",0.00768044475753479
"MANHATTAN","FELONY",0.0212315374628742
"MANHATTAN","MISDEMEANOR",0.0394054025773027
"MANHATTAN","VIOLATION",0.00805969822367853
"QUEENS","FELONY",0.0132092956271051
"QUEENS","MISDEMEANOR",0.0206064668884646
"QUEENS","VIOLATION",0.00578554975581362
"STATEN ISLAND","FELONY",0.0106110101572429
"STATEN ISLAND","MISDEMEANOR",0.0252134911714967
"STATEN ISLAND","VIOLATION",0.00908584813503776
